filename,sku,extension,gallery_order,source_path,source_git_blob_sha1,source_size_bytes,sha256,storage_bucket,storage_path,destination_size_bytes,status,public_url
G-ORG-HS-01_REMIX_03.webp,G-ORG-HS-01,.webp,3,public/images/products/remix/G-ORG-HS-01_REMIX_03.webp,f713e0b4219b3bd1dfb16d3c48e4cf875c7fbe1e,64056,6a0e94c96aed08cf8e03bed59ec56308c3389e4d9322d2623a74080583b08374,product-media,G-ORG-HS-01/G-ORG-HS-01_REMIX_03.webp,64056,verified,https://tbffwwjqkusiupahjqux.supabase.co/storage/v1/object/public/product-media/G-ORG-HS-01/G-ORG-HS-01_REMIX_03.webp
G-ORG-RC-01_REMIX.webp,G-ORG-RC-01,.webp,1,public/images/products/remix/G-ORG-RC-01_REMIX.webp,ac5f56f8b7abb677e43cdd0f94d78ea445afa215,100488,6f8371cd645976b59c4b89bf82f41abf9a764698301489bcd309e1e1302e8a18,product-media,G-ORG-RC-01/G-ORG-RC-01_REMIX.webp,100488,verified,https://tbffwwjqkusiupahjqux.supabase.co/storage/v1/object/public/product-media/G-ORG-RC-01/G-ORG-RC-01_REMIX.webp
G-VAS-ESC-01_REMIX.webp,G-VAS-ESC-01,.webp,1,public/images/products/remix/G-VAS-ESC-01_REMIX.webp,1ef2dd4ce10661d6f3c7a5b48a3d5aac580e3861,141488,1761e66137144698c778a38f3f9cabcd95df79e962f88b1144a8c55ee05adb69,product-media,G-VAS-ESC-01/G-VAS-ESC-01_REMIX.webp,141488,verified,https://tbffwwjqkusiupahjqux.supabase.co/storage/v1/object/public/product-media/G-VAS-ESC-01/G-VAS-ESC-01_REMIX.webp
G-VAS-MIN-01_REMIX.webp,G-VAS-MIN-01,.webp,1,public/images/products/remix/G-VAS-MIN-01_REMIX.webp,a8feaf7cb0dfddf4a64896ba791b1073d8bc4610,176010,2c982c6c5bc2c46d632c361f6ad9860273b01224a4cb7bfe1b0ff376dbbd5704,product-media,G-VAS-MIN-01/G-VAS-MIN-01_REMIX.webp,176010,verified,https://tbffwwjqkusiupahjqux.supabase.co/storage/v1/object/public/product-media/G-VAS-MIN-01/G-VAS-MIN-01_REMIX.webp
S-HAL-DEC-01_REMIX.webp,S-HAL-DEC-01,.webp,1,public/images/products/remix/S-HAL-DEC-01_REMIX.webp,c732c6b7906f5c2bef06e6ef7ebd1d02949c8c0a,199540,328936d309c39d1568d3e67be0076c863b51d02365a0a4bb381db5604d7587e3,product-media,S-HAL-DEC-01/S-HAL-DEC-01_REMIX.webp,199540,verified,https://tbffwwjqkusiupahjqux.supabase.co/storage/v1/object/public/product-media/S-HAL-DEC-01/S-HAL-DEC-01_REMIX.webp
S-HAL-DEC-01_REMIX_02.webp,S-HAL-DEC-01,.webp,2,public/images/products/remix/S-HAL-DEC-01_REMIX_02.webp,5f8beae495c843c2098fba266590be75a22ff81a,197052,b3ee843ec5183627ca4a3720d30cd3a39b7c2b5b35d7d1800f4bfc467b4f91dc,product-media,S-HAL-DEC-01/S-HAL-DEC-01_REMIX_02.webp,197052,verified,https://tbffwwjqkusiupahjqux.supabase.co/storage/v1/object/public/product-media/S-HAL-DEC-01/S-HAL-DEC-01_REMIX_02.webp
S-HAL-DEC-01_REMIX_03.webp,S-HAL-DEC-01,.webp,3,public/images/products/remix/S-HAL-DEC-01_REMIX_03.webp,be3cee17d26dc92ed6613749018a1e0c34b95bcd,213548,a2023d9527f7bd8b40f534cf54670c0061d6baacb7de16bc46a69ae2a8669e43,product-media,S-HAL-DEC-01/S-HAL-DEC-01_REMIX_03.webp,213548,verified,https://tbffwwjqkusiupahjqux.supabase.co/storage/v1/object/public/product-media/S-HAL-DEC-01/S-HAL-DEC-01_REMIX_03.webp
S-HAL-DEC-01_REMIX_04.webp,S-HAL-DEC-01,.webp,4,public/images/products/remix/S-HAL-DEC-01_REMIX_04.webp,27c226374079c627534a7edbc81da664117de1d0,207462,ad2d590c91b1efeef7c8a154f2924d2902b6215fa38d5cbe9b38c0d797650386,product-media,S-HAL-DEC-01/S-HAL-DEC-01_REMIX_04.webp,207462,verified,https://tbffwwjqkusiupahjqux.supabase.co/storage/v1/object/public/product-media/S-HAL-DEC-01/S-HAL-DEC-01_REMIX_04.webp
S-NAT-PRE-01_REMIX.webp,S-NAT-PRE-01,.webp,1,public/images/products/remix/S-NAT-PRE-01_REMIX.webp,f3b23eddaf6808c3234085fdc78460e3fcdd57aa,173338,c17f68eabf8e9570cc7cec148f6782cb47dcefde5c0f6365bc93f6aaf7e618d9,product-media,S-NAT-PRE-01/S-NAT-PRE-01_REMIX.webp,173338,verified,https://tbffwwjqkusiupahjqux.supabase.co/storage/v1/object/public/product-media/S-NAT-PRE-01/S-NAT-PRE-01_REMIX.webp
S-NAT-PRE-01_REMIX_02.webp,S-NAT-PRE-01,.webp,2,public/images/products/remix/S-NAT-PRE-01_REMIX_02.webp,d2e97f1743055bb04bdbc222c91aad4e96bbf29f,241674,3025e8726aa3f7ed95a579a3be8d4331519d16034edbd1226e4874ce826abe9d,product-media,S-NAT-PRE-01/S-NAT-PRE-01_REMIX_02.webp,241674,verified,https://tbffwwjqkusiupahjqux.supabase.co/storage/v1/object/public/product-media/S-NAT-PRE-01/S-NAT-PRE-01_REMIX_02.webp
S-NAT-PRE-01_REMIX_03.webp,S-NAT-PRE-01,.webp,3,public/images/products/remix/S-NAT-PRE-01_REMIX_03.webp,39034a38f45b9b302ba9f4a25254276e5d16f94a,156918,10d8e2f4d8761f18384cba85b629df66a5d6dab7da12551d4400174f0b32f672,product-media,S-NAT-PRE-01/S-NAT-PRE-01_REMIX_03.webp,156918,verified,https://tbffwwjqkusiupahjqux.supabase.co/storage/v1/object/public/product-media/S-NAT-PRE-01/S-NAT-PRE-01_REMIX_03.webp
